rec_ann Generated from M:\Constructor\HUC8_models\models\07010101.accdb Time: 2/13/2025 7:48:02 PM
61
        JDAY          MO      DAY_MO         YRC  OB_TYP       OB_NAME    FLO    SED   ORGN   SEDP    NO3   SOLP   CHLA    NH3  REDAY   CBOD    DOX    SAN    SIL    CLA    SAG    LAG    GRV   TEMP
           1           1           1        1989   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1990   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1991   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1992   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1993   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1994   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1995   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1996   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1997   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1998   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        1999   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2000   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2001   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2002   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2003   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2004   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2005   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2006   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2007   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2008   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2009   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2010   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2011   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2012   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2013   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2014   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2015   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2016   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2017   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2018   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2019   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
           1           1           1        2020   ptsrc  070101010205      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
